id	year(patent.date)	inventor_id	state
4119964	1978	3859119-1	CA
4131459	1978	3859119-1	CA
4132940	1979	3859119-1	CA
4132829	1979	3859119-1	WI
4132599	1979	3859119-1	MD
4132130	1979	3859119-1	FL
4135127	1979	3859119-1	Ontario
4134786	1979	3859119-1	CA
4137365	1979	3859119-1	CA
4139839	1979	3859119-1	CA
4140972	1979	3859119-1	CA
4141259	1979	3859119-1	CA
4145255	1979	3859119-1	PA
4148031	1979	3859119-1	CA
3889122	1975	3859119-1	NY
4149817	1979	3859119-1	CA
4149521	1979	3859119-1	CA
3888705	1975	3859119-1	Delhi
3889064	1975	3859119-1	UT
3888362	1975	3859119-1	CA
3889264	1975	3859119-1	CA
4168287	1979	3859119-1	CA
4168706	1979	3859119-1	CT
3891851	1975	3859119-1	MD
3891848	1975	3859119-1	CA
3891311	1975	3859119-1	PA
3891533	1975	3859119-1	OR
4197530	1980	3859119-1	CA
4200721	1980	3859119-1	CA
3893458	1975	3859119-1	CA
3893573	1975	3859119-1	CO
4203723	1980	3859119-1	CA
4212732	1980	3859119-1	CA
3898578	1975	3859119-1	Wien
3899745	1975	3859119-1	AL
3899696	1975	3859119-1	CA
3899517	1975	3859119-1	OH
4252111	1981	3859119-1	PA
3900741	1975	3859119-1	MA
3902143	1975	3859119-1	CA
3902971	1975	3859119-1	UT
3906393	1975	3859119-1	CA
3906374	1975	3859119-1	CA
3906231	1975	3859119-1	CA
3905660	1975	3859119-1	NY
3905356	1975	3859119-1	CA
3907686	1975	3859119-1	CO
3907312	1975	3859119-1	AL
4329053	1982	3859119-1	NULL
3864239	1975	3859119-1	CA
3911330	1975	3859119-1	CA
3910257	1975	3859119-1	CA
4372110	1983	3859119-1	CA
3916187	1975	3859119-1	CA
3915482	1975	3859119-1	CA
3915148	1975	3859119-1	CA
3915012	1975	3859119-1	PA
3914991	1975	3859119-1	CA
3914950	1975	3859119-1	CA
3864542	1975	3859119-1	CA
3916380	1975	3859119-1	CA
3916761	1975	3859119-1	AL
3919710	1975	3859119-1	CO
4436785	1984	3859126-1	CA
